learning_rate,exec_time (s),training_loss
0.0001,17.67,6.2378
0.0001,15.51,0.289
0.0001,15.51,0.1813
0.0001,15.52,0.1589
0.0001,15.52,0.1417
0.0001,15.51,0.127
0.0001,15.53,0.1227
0.0001,15.57,0.1154
0.0001,15.51,0.1048
0.0001,15.52,0.0956
0.0001,15.55,0.0994
0.0001,15.51,0.09
0.0001,15.52,0.08
0.0001,15.56,0.0737
0.0001,15.54,0.0733
0.0001,15.67,0.0714
0.0001,15.49,0.0667
0.0001,15.52,0.0601
0.0001,15.58,0.057
0.0001,15.51,0.0573
0.0001,15.53,0.059
0.0001,15.52,0.0595
0.0001,15.51,0.0514
0.0001,15.52,0.0496
0.0001,15.5,0.0551
0.0001,15.54,0.0505
0.0001,15.49,0.0459
0.0001,15.5,0.0423
0.0001,15.5,0.0411
0.0001,15.49,0.0386
